timestamp,open,high,low,close,volume,tf
1713722400000,64793.00,64847.70,64600.00,64754.50,3965.6520,1h
1713726000000,64754.50,64830.00,64498.30,64506.90,4107.0580,1h
1713729600000,64507.00,64690.80,64322.70,64621.50,5603.8950,1h
1713733200000,64621.50,65242.00,64611.00,64632.00,9943.0720,1h
1713736800000,64632.20,65078.90,64520.20,64998.20,6269.6660,1h
1713740400000,64998.20,65041.40,64830.30,64912.60,2910.7480,1h
1713744000000,64912.70,65135.60,64712.00,64873.30,6101.3620,1h
1713747600000,64873.20,65654.90,64566.80,64634.30,22443.5710,1h
1713751200000,64634.40,64843.10,64470.50,64774.30,6259.4610,1h
1713754800000,64774.20,66101.00,64721.00,65677.60,21984.7050,1h
1713758400000,65677.50,65854.10,65466.60,65708.40,10503.7210,1h
1713762000000,65708.50,66390.00,65668.10,66342.80,12879.6050,1h
1713765600000,66342.80,66387.00,66117.00,66268.80,8633.4820,1h
1713769200000,66268.70,66449.00,65936.50,65943.70,9052.9010,1h
1713772800000,65943.80,66180.00,65871.00,65935.80,6568.7600,1h
1713776400000,65935.90,66035.60,65764.10,65913.60,5050.0640,1h
1713780000000,65913.60,66131.40,65855.60,66022.70,5132.3430,1h
1713783600000,66022.80,66085.90,65664.60,65856.20,6741.9490,1h
1713787200000,65856.10,65976.80,65600.70,65971.50,6509.0500,1h
1713790800000,65971.40,66239.20,65652.60,66077.20,13691.8580,1h
1713794400000,66077.20,66449.00,65920.60,65999.90,15588.2780,1h
1713798000000,66000.00,66059.10,65600.70,65966.80,14025.0790,1h
1713801600000,65966.80,66398.00,65866.80,66111.10,10696.8430,1h
1713805200000,66111.00,66819.60,66100.00,66507.20,18870.8020,1h
1713808800000,66507.20,66656.20,66261.00,66301.10,6585.8880,1h
1713812400000,66301.10,66585.40,66094.60,66495.60,6987.2540,1h
1713816000000,66495.60,66731.00,66356.00,66483.60,6495.3940,1h
1713819600000,66483.70,66540.00,66300.10,66490.80,3010.9240,1h
1713823200000,66490.90,67200.00,66490.90,67000.00,12590.0020,1h
1713826800000,66999.90,67222.00,66750.40,66778.00,9865.1150,1h
1713830400000,66777.90,67000.00,66669.20,66993.40,6227.8060,1h
1713834000000,66993.50,67158.90,66735.60,66742.00,7745.5810,1h
1713837600000,66742.00,66889.50,66513.20,66582.80,5425.2830,1h
1713841200000,66582.80,66730.00,66383.50,66410.10,5672.0880,1h
1713844800000,66410.00,66559.20,66142.60,66216.80,8618.9650,1h
